date,sales
2015/05/25,7610035
2015/05/26,7437786
2015/05/27,7198215
2015/05/28,6997153
2015/05/29,7805862
2015/05/30,8561040
2015/05/31,8547886
2015/06/01,7597531
2015/06/02,7386812
2015/06/03,6866780
2015/06/04,7606422
2015/06/05,8041701
2015/06/06,9425696
2015/06/07,8900284
2015/06/08,7797804
2015/06/09,6659887
2015/06/10,7608633
2015/06/11,7281010
2015/06/12,8081262
2015/06/13,8689903
2015/06/14,8045439
2015/06/15,7381909
2015/06/16,7500723
2015/06/17,7423686
2015/06/18,7528375
2015/06/19,7794748
2015/06/20,11003869
2015/06/21,9952853
2015/06/22,7591016
